name,muscleGroup
Bench Press,Chest – Mid
Paused Bench Press,Chest – Mid
Tempo Bench Press,Chest – Mid
Spoto Press,Chest – Mid
Pin Press,Chest – Mid
Board Press,Chest – Mid
Floor Press,Chest – Mid
Close-Grip Bench Press,Chest – Mid
Dumbbell Bench Press,Chest – Mid
Dumbbell Hex Press,Chest – Mid
Dumbbell Squeeze Press,Chest – Mid
Smith Machine Bench Press,Chest – Mid
Machine Chest Press,Chest – Mid
Hammer Strength Chest Press,Chest – Mid
Iso-Lateral Chest Press,Chest – Mid
Pec Deck,Chest – Mid
Chest Fly (Machine),Chest – Mid
Flat Dumbbell Fly,Chest – Mid
Cable Fly (Mid),Chest – Mid
Standing Cable Chest Press,Chest – Mid
Resistance Band Chest Press,Chest – Mid
Ring Push-Ups,Chest – Mid
Push-Up,Chest – Mid
Archer Push-Up,Chest – Mid
Wide Push-Up,Chest – Mid
Diamond Push-Up,Chest – Mid
Decline Push-Up,Chest – Lower
Chest Press (Plate-Loaded),Chest – Mid
Chest Press (Selectorized),Chest – Mid
Seated Chest Press,Chest – Mid
Incline Chest Press Machine,Chest – Upper
Flat Chest Press Machine,Chest – Mid
Single-Arm Chest Press (Machine),Chest – Mid
Single-Arm Dumbbell Bench,Chest – Mid
Dumbbell Floor Press,Chest – Mid
Smith Floor Press,Chest – Mid
Barbell Larsen Press,Chest – Mid
Paused Dumbbell Press,Chest – Mid
Dumbbell Crush Press,Chest – Mid
Guillotine Dumbbell Press,Chest – Mid
Cable Chest Press (Two-Handed),Chest – Mid
Cable Chest Press (Single-Arm),Chest – Mid
Banded Bench Press,Chest – Mid
Kettlebell Chest Press,Chest – Mid
Incline Barbell Bench Press,Chest – Upper
Incline Dumbbell Press,Chest – Upper
Incline Smith Press,Chest – Upper
Incline Chest Fly,Chest – Upper
Cable Crossover (Low to High),Chest – Upper
Cable Chest Fly (Low),Chest – Upper
Dumbbell Pullover,Chest – Upper
Guillotine Press,Chest – Upper
Incline Push-Up,Chest – Upper
Landmine Incline Press,Chest – Upper
Incline Machine Press,Chest – Upper
Incline Hammer Press,Chest – Upper
Single-Arm Cable Press (Low),Chest – Upper
Incline Cable Fly,Chest – Upper
Incline Dumbbell Squeeze Press,Chest – Upper
Incline Dumbbell Floor Press,Chest – Upper
Incline Plate-Loaded Press,Chest – Upper
Incline Smith Fly,Chest – Upper
Incline Pec Deck,Chest – Upper
